Date,Open,High,Low,Close,Adj Close,Volume
2022-09-16,3.661000,3.682000,3.613000,3.626000,3.626000,0
2022-09-18,null,null,null,null,null,null
2022-09-19,3.698000,3.714000,3.666000,3.693000,3.693000,0
2022-09-20,3.734000,3.777000,3.718000,3.750000,3.750000,0
2022-09-21,3.718000,3.855000,3.702000,3.713000,3.713000,0
2022-09-22,3.792000,3.942000,3.790000,3.929000,3.929000,0
2022-09-23,4.006000,4.006000,3.911000,3.984000,3.984000,0
2022-09-25,null,null,null,null,null,null
2022-09-26,4.075000,4.188000,4.021000,4.159000,4.159000,0
2022-09-27,4.057000,4.239000,4.057000,4.210000,4.210000,0
2022-09-28,4.111000,4.111000,3.918000,3.922000,3.922000,0
2022-09-29,4.036000,4.055000,3.969000,3.979000,3.979000,0
2022-09-30,3.960000,4.041000,3.935000,4.041000,4.041000,0
2022-10-02,null,null,null,null,null,null
2022-10-03,3.963000,3.963000,3.787000,3.883000,3.883000,0
2022-10-04,3.809000,3.883000,3.782000,3.840000,3.840000,0
2022-10-05,3.918000,4.004000,3.918000,3.959000,3.959000,0
2022-10-06,3.978000,4.060000,3.957000,4.060000,4.060000,0
2022-10-07,4.091000,4.174000,4.084000,4.135000,4.135000,0
2022-10-09,null,null,null,null,null,null
2022-10-10,4.149000,4.149000,4.149000,4.149000,4.149000,0
2022-10-11,4.127000,4.181000,4.093000,4.169000,4.169000,0
2022-10-12,4.170000,4.192000,4.090000,4.112000,4.112000,0
2022-10-13,4.079000,4.344000,4.058000,4.207000,4.207000,0
2022-10-14,4.146000,4.293000,4.107000,4.269000,4.269000,0
2022-10-16,null,null,null,null,null,null
2022-10-17,4.178000,4.239000,4.139000,4.239000,4.239000,0
2022-10-18,4.200000,4.268000,4.172000,4.215000,4.215000,0
2022-10-19,4.311000,4.355000,4.291000,4.350000,4.350000,0
2022-10-20,4.346000,4.448000,4.325000,4.448000,4.448000,0
2022-10-21,4.495000,4.499000,4.307000,4.354000,4.354000,0
2022-10-23,null,null,null,null,null,null
2022-10-24,4.323000,4.402000,4.311000,4.359000,4.359000,0
2022-10-25,4.293000,4.304000,4.195000,4.257000,4.257000,0
2022-10-26,4.229000,4.261000,4.165000,4.194000,4.194000,0
2022-10-27,4.242000,4.248000,4.064000,4.088000,4.088000,0
2022-10-28,4.146000,4.213000,4.116000,4.190000,4.190000,0
2022-10-30,null,null,null,null,null,null
2022-10-31,4.225000,4.255000,4.213000,4.248000,4.248000,0
2022-11-01,4.122000,4.274000,4.102000,4.258000,4.258000,0
2022-11-02,4.251000,4.302000,4.148000,4.249000,4.249000,0
2022-11-03,4.405000,4.439000,4.341000,4.350000,4.350000,0
2022-11-04,4.391000,4.452000,4.295000,4.326000,4.326000,0
2022-11-06,null,null,null,null,null,null
2022-11-07,4.342000,4.402000,4.342000,4.393000,4.393000,0
2022-11-08,4.372000,4.379000,4.301000,4.306000,4.306000,0
2022-11-09,4.320000,4.342000,4.262000,4.285000,4.285000,0
2022-11-10,4.227000,4.243000,3.931000,3.943000,3.943000,0
2022-11-11,3.938000,3.938000,3.938000,3.938000,3.938000,0
2022-11-13,null,null,null,null,null,null
2022-11-14,4.002000,4.035000,3.986000,3.997000,3.997000,0
